drive	layout_category	hf_repo	revision	size_gib	path
d2	uncensored	huihui-ai/Mistral-Small-24B-Instruct-2501-abliterated	04d6728a8ecd8236b59f5f91ad7a8b9f3dafa57d	43.937	/mnt/models/d2/uncensored/huihui-ai/Mistral-Small-24B-Instruct-2501-abliterated/04d6728a8ecd8236b59f5f91ad7a8b9f3dafa57d
d2	uncensored	huihui-ai/Mistral-Small-24B-Instruct-2501-abliterated	latest	43.937	/mnt/models/d2/uncensored/huihui-ai/Mistral-Small-24B-Instruct-2501-abliterated/latest
d2	raw	meta-llama/Llama-3.1-8B-Instruct	0e9e39f249a16976918f6564b8830bc894c89659	29.926	/mnt/models/d2/raw/meta-llama/Llama-3.1-8B-Instruct/0e9e39f249a16976918f6564b8830bc894c89659
d2	raw	meta-llama/Llama-3.1-8B-Instruct	latest	29.926	/mnt/models/d2/raw/meta-llama/Llama-3.1-8B-Instruct/latest
d2	raw	meta-llama/Llama-3.2-3B-Instruct	0cb88a4f764b7a12671c53f0838cd831a0843b95	0.009	/mnt/models/d2/raw/meta-llama/Llama-3.2-3B-Instruct/0cb88a4f764b7a12671c53f0838cd831a0843b95
d2	raw	microsoft/Phi-4-mini-instruct	cfbefacb99257ffa30c83adab238a50856ac3083	0.006	/mnt/models/d2/raw/microsoft/Phi-4-mini-instruct/cfbefacb99257ffa30c83adab238a50856ac3083
d2	raw	microsoft/phi-4	932b33c0ec9ca189badeb22480721a8de9d0e006	27.312	/mnt/models/d2/raw/microsoft/phi-4/932b33c0ec9ca189badeb22480721a8de9d0e006
d2	raw	microsoft/phi-4	latest	27.312	/mnt/models/d2/raw/microsoft/phi-4/latest
d2	raw	mistralai/Codestral-22B-v0.1	28b1c1a51dabe9d86ca8c41420ada1984632498f	82.880	/mnt/models/d2/raw/mistralai/Codestral-22B-v0.1/28b1c1a51dabe9d86ca8c41420ada1984632498f
d2	raw	mistralai/Codestral-22B-v0.1	latest	82.880	/mnt/models/d2/raw/mistralai/Codestral-22B-v0.1/latest
d2	raw	mistralai/Devstral-Small-2507	bd165ab26cebbcc2eea2c4ecbfc07f3ac42b3c39	87.832	/mnt/models/d2/raw/mistralai/Devstral-Small-2507/bd165ab26cebbcc2eea2c4ecbfc07f3ac42b3c39
d2	raw	mistralai/Devstral-Small-2507	latest	87.832	/mnt/models/d2/raw/mistralai/Devstral-Small-2507/latest
d2	raw	mistralai/Mistral-7B-Instruct-v0.3	c170c708c41dac9275d15a8fff4eca08d52bab71	27.004	/mnt/models/d2/raw/mistralai/Mistral-7B-Instruct-v0.3/c170c708c41dac9275d15a8fff4eca08d52bab71
d2	raw	mistralai/Mistral-7B-Instruct-v0.3	latest	27.004	/mnt/models/d2/raw/mistralai/Mistral-7B-Instruct-v0.3/latest
d2	raw	mistralai/Mistral-Small-24B-Instruct-2501	9527884be6e5616bdd54de542f9ae13384489724	87.844	/mnt/models/d2/raw/mistralai/Mistral-Small-24B-Instruct-2501/9527884be6e5616bdd54de542f9ae13384489724
d2	raw	mistralai/Mistral-Small-24B-Instruct-2501	latest	87.844	/mnt/models/d2/raw/mistralai/Mistral-Small-24B-Instruct-2501/latest
d2	uncensored	mlabonne/Llama-3.1-70B-Instruct-lorablated	5bb381611cfa4512f63affbb199c218b8a38bd76	131.425	/mnt/models/d2/uncensored/mlabonne/Llama-3.1-70B-Instruct-lorablated/5bb381611cfa4512f63affbb199c218b8a38bd76
d2	uncensored	mlabonne/Llama-3.1-70B-Instruct-lorablated	latest	131.425	/mnt/models/d2/uncensored/mlabonne/Llama-3.1-70B-Instruct-lorablated/latest
d2	uncensored	mlabonne/NeuralDaredevil-8B-abliterated	6567010926ff93a5e9fb809534d61ab667a86674	14.966	/mnt/models/d2/uncensored/mlabonne/NeuralDaredevil-8B-abliterated/6567010926ff93a5e9fb809534d61ab667a86674
d2	uncensored	mlabonne/NeuralDaredevil-8B-abliterated	latest	14.966	/mnt/models/d2/uncensored/mlabonne/NeuralDaredevil-8B-abliterated/latest
d2	raw	open-r1/OlympicCoder-32B	34113aee9d255591a1fa75b60d1e3422e82c3b1f	61.043	/mnt/models/d2/raw/open-r1/OlympicCoder-32B/34113aee9d255591a1fa75b60d1e3422e82c3b1f
d2	raw	open-r1/OlympicCoder-32B	latest	61.043	/mnt/models/d2/raw/open-r1/OlympicCoder-32B/latest
d3	specialist/chemistry/raw	AI4Chem/ChemLLM-7B-Chat	b8b2ea19e48f53d190fe8dced94572717f8e89a2	14.414	/mnt/models/d3/specialist/chemistry/raw/AI4Chem/ChemLLM-7B-Chat/b8b2ea19e48f53d190fe8dced94572717f8e89a2
d3	specialist/chemistry/raw	AI4Chem/ChemLLM-7B-Chat	latest	14.414	/mnt/models/d3/specialist/chemistry/raw/AI4Chem/ChemLLM-7B-Chat/latest
d3	raw	Alibaba-NLP/gte-Qwen2-7B-instruct	a8d08b36ada9cacfe34c4d6f80957772a025daf2	28.370	/mnt/models/d3/raw/Alibaba-NLP/gte-Qwen2-7B-instruct/a8d08b36ada9cacfe34c4d6f80957772a025daf2
d3	specialist/embeddings/raw	Alibaba-NLP/gte-Qwen2-7B-instruct	a8d08b36ada9cacfe34c4d6f80957772a025daf2	0.011	/mnt/models/d3/specialist/embeddings/raw/Alibaba-NLP/gte-Qwen2-7B-instruct/a8d08b36ada9cacfe34c4d6f80957772a025daf2
d3	raw	Alibaba-NLP/gte-Qwen2-7B-instruct	latest	28.370	/mnt/models/d3/raw/Alibaba-NLP/gte-Qwen2-7B-instruct/latest
d3	raw	BAAI/bge-base-en-v1.5	a5beb1e3e68b9ab74eb54cfd186867f64f240e1a	0.817	/mnt/models/d3/raw/BAAI/bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a
d3	raw	BAAI/bge-base-en-v1.5	latest	0.817	/mnt/models/d3/raw/BAAI/bge-base-en-v1.5/latest
